2miners,499
AntPool,96
BitClubPool,3228
BW,3044
Coinotron_3,1989
DwarfPool_1,3598
Ethermine,51786
EthPool_2,1701
F2pool_2,27497
FirePool,727
MaxHash,72
MinerAllPool,179
MiningPoolHub,18139
NanoPool,21329
PandaPool,1243
SparkPool,32097
WaterholePool,896
